"","CTR-DS1","CTR-DS2","CTR-DS3","DR-DS1","DR-DS2","DR-DS3"
"MLOC_52301.1",8.7817604104766,8.65992070730224,8.68573815113744,8.52382703127058,8.49006648050206,8.57367002457356
"MLOC_36667.1",8.02844575162521,7.83141399556604,7.9083826673825,7.72226736244774,7.74672276942552,7.626293218551
"MLOC_74793.3",8.57388792954343,8.89212078787566,8.85397262443509,7.78976881783587,7.10766627215437,8.41086065420344
"MLOC_11770.1",9.30753445087949,9.33337540822107,9.30550794155043,9.54687186051952,9.62380597625144,9.39264221874511
"MLOC_58956.3",8.20964228712248,8.15225013571676,8.07312408165564,7.87166526177651,7.9010158524514,8.03030112579445
"MLOC_57388.1",8.26782450511797,8.30666273693163,8.2319632761785,8.06097068228884,8.01464383754536,8.16296316425052
"MLOC_69905.3",8.01241672642158,7.56767259069999,7.86810441351317,7.44252121326794,7.52266449528803,7.25845786292311
"MLOC_81977.1",8.51979002299593,8.45881336009376,8.49247590435636,8.17484243995153,8.24553163666624,8.38381473423462
"MLOC_70077.2",8.85704297519351,8.81601159669495,8.76721889565913,8.90452187451471,8.97669400898324,8.96308932096975
"MLOC_56418.3",7.51108514663034,7.89728606740473,7.6040093355379,7.97174169210307,7.99661532457636,7.95682693558057
"MLOC_56785.1",7.42973655476776,7.34441079724097,7.4738479811395,7.19248644428506,7.27709746859771,7.14498338394923
"MLOC_45344.3",8.1473128813886,8.19008623935296,8.37340533273018,7.96603361667916,7.82286324982974,8.0420177988557
"MLOC_37893.1",7.81240665389748,7.91435246783525,7.7247838524848,8.02862061144267,7.91980005070481,8.05522664991392
"MLOC_48429.1",8.27819626173952,8.21166276732623,8.46752918107775,8.75414611357359,8.84082426590716,8.4472600515365
"MLOC_73759.1",8.08239948527583,8.03018241463061,8.1649850109805,7.8320410485017,7.83171278220992,7.9626026582145
"MLOC_67313.1",8.34796685050445,8.93494056678083,8.22205827967952,8.1582029552559,7.55718540202062,7.68920339710544
"MLOC_81243.1",8.81795577228363,8.9948688350988,8.71191708973864,9.13668228976561,9.05249826080328,9.01034493659226
"MLOC_66415.1",8.23875854266133,8.12060157894854,8.08137690013952,8.01492145833215,7.94376656628075,7.95623296449854
"MLOC_5464.1",7.27020328692887,6.90819008519821,7.59139874895121,7.73864982484611,7.87944477168976,7.67468071753199
"MLOC_1587.1",7.54097860011033,7.38182870287381,7.64425435412881,7.17589499164708,7.35522936329613,7.11315304744401
"MLOC_72624.1",9.06559982821607,9.02224947550205,9.05036052416592,9.18283986443536,9.16123468679295,9.14491027732625
"MLOC_64857.1",7.95275096945299,7.82013361862284,7.83125850498459,7.74216699813595,7.63727014960327,7.69453730672742
"MLOC_14764.2",8.49818270231889,8.43073802179302,8.45301835853034,8.34460090852266,8.26406804108381,8.3121106519683
"MLOC_55798.1",8.40997439959143,8.40451607336047,8.41679004574547,8.2937572384082,8.25846111129852,8.22676538887538
"MLOC_17935.1",9.00690961007414,8.92078022118596,8.86441559505242,8.69429716590688,8.81428700977185,8.72140736872309
