"","2218DP100","2218DP234","2218DP286","2218DP103","2218DP093","2226DP070","2226DP052","2226DP025","2226DP103","2226DP088","2226DP215","2218DP148","2226DP092","2226DP059","2218DP112","2226DP005","2226DP137","2226DP069","2226DP360","2226DP082","2226DP046","2226DP183","2226DP033","2226DP212","2226DP176","2226DP072","2218DP084","2218DP263","2226DP185","2226DP172","2226DP051","2226DP170","2226DP307","2218DP114","2218DP088","2218DP026","2218DP002","2218DP190","2218DP198","2218DP109","2218DP281","2218DP282","2218DP217","2218DP202","2218DP102","2218DP312","2218DP086","2218DP073","2218DP152"
"Solyc07g065340.1.1",39.9928,31.8597,32.5129,19.901,19.0336,39.5277,36.3488,49.2626,44.5217,49.6619,26.1171,29.9039,38.6838,44.3286,35.482,52.4736,22.3441,39.3565,26.5754,32.5531,30.2608,24.6536,30.0035,31.3542,29.1895,24.4738,40.7491,31.8952,32.0987,28.8365,28.573,17.7344,26.6556,46.0906,40.5353,44.1606,54.6581,52.1614,42.0989,59.5606,49.5921,60.7176,47.953,59.173,44.1496,38.2599,26.0146,51.0361,35.2504
"Solyc07g065380.4.1",26.4319,59.575,78.2647,76.3743,54.4886,17.1256,21.1421,28.4206,26.8728,30.601,23.8531,34.447,44.5504,39.758,32.1229,53.4265,22.1471,30.1043,22.6436,26.7046,26.5,33.8355,37.0944,32.4856,55.4155,75.6533,28.3772,38.7836,100.874,94.4075,101.784,59.8224,89.2095,51.4052,41.5762,34.462,53.7159,71.5687,75.1803,60.3463,55.9864,81.2427,60.3274,88.2749,66.1979,113.954,55.0119,81.9937,91.0617
"Solyc07g065410.1.1",10.069,23.9571,39.7402,25.1134,28.3489,8.86421,11.4162,10.1641,7.51208,17.9123,2.07795,263.695,10.7641,9.79942,231.363,7.74095,7.45924,2.97386,13.9759,19.5545,6.11319,12.9598,11.5005,8.57586,14.8888,12.8733,17.3297,151.62,18.584,25.8939,22.6889,12.6327,18.7332,418.654,424.367,6.89055,358.804,871.116,808.43,227.95,165.993,183.047,285.95,801.842,140.24,894.823,38.2282,36.4895,27.1347
"Solyc07g065480.3.1",49.318,67.5567,80.4569,73.4052,64.9662,52.0735,58.1973,49.0686,67.0494,59.5693,66.7159,98.8541,60.104,65.1196,119.855,74.0404,49.3933,65.0375,50.5157,45.1448,44.737,57.1449,56.4438,56.5919,74.7064,101.043,60.9259,109.328,108.177,112.777,94.7317,89.063,118.824,145.448,146.062,58.0041,181.493,168.749,173.407,100.985,115.489,150.744,124.816,141.812,123.804,189.728,70.8508,92.124,80.4549
"Solyc07g065490.3.1",42.0442,48.7714,60.758,54.7892,63.7276,43.7108,46.2479,41.0609,44.3757,46.6037,26.0778,75.0974,46.3402,40.7261,72.1685,45.5249,48.2467,40.9389,46.2526,49.7313,45.2673,49.7558,47.1291,47.8948,68.671,76.4454,35.2229,66.0429,98.2973,98.3875,98.406,90.631,98.0936,84.2385,84.5627,37.336,100.28,103.51,119.92,84.4806,83.6595,85.0299,96.1504,100.385,78.257,39.7954,83.2232,69.5394,55.2445
"Solyc07g065500.2.1",184.893,171.223,142.279,247.137,254.96,194.138,192.694,207.262,185.537,221.905,191.252,239.046,187.437,202.915,198.495,222.235,163.433,156.507,204.137,215.715,210.038,200.122,210.493,228.617,214.506,239.289,195.946,255.832,195.101,175.247,188.163,262.084,225.711,177.367,200.328,213.379,126.712,99.6262,56.675,140.565,135.392,176.021,118.321,93.4144,165.811,91.5553,102.529,95.5582,174.53
"Solyc07g065510.4.1",21.14,30.0206,31.8356,31.3425,32.8691,20.1218,22.4254,21.5793,22.2607,23.4407,12.8197,24.1277,22.3707,22.7008,31.4292,23.5527,22.9507,21.8618,22.7192,20.811,23.3659,25.2161,24.2635,27.2597,34.372,36.6935,18.5341,29.5068,50.8464,51.0938,45.0941,58.5271,48.9203,35.9695,32.8549,22.9312,42.1684,42.6736,43.0433,45.1487,44.1246,40.3159,47.5408,50.9556,40.1182,11.7042,34.6542,35.4366,30.4214
"Solyc07g065530.1.1",14.7577,23.2469,26.5853,6.6632,6.77221,10.7895,13.0213,18.6443,8.20365,7.91081,6.12697,1.52635,4.94948,13.2933,2.61297,6.0271,25.0644,9.29186,23.3026,9.37689,14.0347,8.67708,15.6243,8.83323,6.70704,6.47426,14.6143,3.30755,11.8387,7.44648,7.70117,8.77907,8.79327,2.02044,3.58326,10.0902,0.752566,0.431108,0.672908,9.07575,21.0331,10.3122,21.7554,3.50024,12.9753,0.728944,95.1702,49.811,12.2321
"Solyc07g065640.3.1",120.009,133.666,217.635,267.298,215.495,128.749,90.3715,109.914,119.897,113.272,121.606,146.994,180.909,128.566,194.818,143.711,98.548,113.502,96.5225,122.474,113.832,140.538,140.041,122.99,236.773,298.245,128.364,218.582,417.228,369.838,334.682,225.002,399.722,187.404,196.661,202.422,320.295,224.999,181.869,251.335,176.826,311.425,191.074,238.603,230.95,388.206,117.877,183.853,175.015
"Solyc07g065650.2.1",27.1978,36.437,42.1211,27.9609,31.2876,22.0996,21.7207,25.1087,31.3942,26.5895,21.43,31.2762,25.0104,31.8797,33.8054,29.4979,22.1208,27.6476,25.981,19.8178,21.7631,32.9484,28.2393,31.0044,45.5697,44.0838,25.9464,30.896,76.9322,75.8307,73.2342,58.3808,66.8288,49.3721,46.8212,29.2538,82.3558,76.9437,66.7842,51.8638,44.7215,61.7488,53.5998,68.7829,53.4403,101.681,39.5572,53.8676,33.6141
