"","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_13","cluster_14","cluster_15","cluster_16","cluster_17","cluster_18","cluster_19","cluster_20","cluster_21","cluster_22","cluster_23","cluster_24","cluster_25","cluster_26","cluster_27"
"2226DP069",0.347773499112298,-1.27747357168303,0.893552009598325,2.33351241078679,0.0281441052963802,-3.70757632602632,-1.36802826903176,0.933201136232402,0.832937364751397,0.438940072684611,0.394825790119824,1.32177114769182,0.44191780896112,0.51025398874029,-1.38190268373706,-1.26033294538376,-0.521963951503529,0.149868865289317,0.826267835177504,0.0376238641148478,0.170408539446565,1.30982975404735,1.49055395812953,0.267839736917354,-0.654335712730175,0.955153559467619,0.303966688905614
"2226DP360",-0.401408087375212,-2.27720533003478,0.833332998378155,0.336968142762268,-1.70587372385588,-4.43144368957409,-0.594701827774421,0.423173024129445,0.77048768358984,0.825694811226644,0.8092343845705,1.99607856446464,0.431277079624695,1.46093690394789,-0.348889412763806,0.551115724877708,-0.432895525360968,0.481049483396062,-1.31695659256078,0.0395168887243999,0.0671203887490041,0.364619737978507,2.03721288469733,-1.17770521088927,-0.386898988967578,0.383477615907685,-0.787445750215793
"2226DP082",-6.67590857572229,-0.356006736612263,-1.37943637876158,1.17012311237686,-2.41447472029697,0.683381043030684,-1.93895363366202,0.912718366710979,0.765790697356773,-1.99047131676126,-0.454578783926497,-0.737393975999214,0.432135921965966,1.00300395823033,-0.345487061852655,0.858104851856699,-1.3052229387948,0.980790678595983,-2.73374745873299,0.0198834978075303,1.41406781098094,0.465074234106606,3.24167829616899,-0.0297918538435778,0.147360468667951,-0.219419654933098,1.47089362475763
"2226DP046",-4.16709641309008,-0.967378684857763,-1.13148068879311,-1.2204813885847,-1.29296475746113,-2.51385162642154,0.401764014876214,-1.0655498053345,0.789036109892415,-1.59048958611192,0.154756126278998,0.0301376844000334,0.438675918669378,1.08086322320814,-1.07811154025314,-0.422944658747856,-0.972043425944236,0.194171783484895,1.45292474627071,0.0292922391943104,0.567542343064327,1.4838719692784,3.23959292374647,-0.254930020440598,0.115736272476961,0.75008087408339,-0.520178183500697
"2226DP183",-6.14666889881398,-1.11578705726878,-1.43601905003482,0.290661769312467,-2.92084239671942,0.130486633712903,-1.75124064715483,1.1635003265775,0.80892543597744,-0.94319334148532,0.0644066738421204,1.35773784250668,0.428560177497641,1.71942089285189,-0.0145994514023038,1.69833360535093,-0.541275486637895,0.262083390191182,-1.13774250580364,0.0217411256303791,1.39862814351081,0.811695957975048,2.02709862251227,-0.675742730297967,0.24325431517575,0.137156705406136,-3.39761953687726
"2226DP033",-7.99154207732474,0.506671364365745,-3.91771097703327,-2.69089719427322,-2.19297551918302,0.294211207471327,1.20365646654439,-1.20392545445139,0.809498092882091,-1.38326621339679,0.543150564953928,0.919970808690189,0.441063322475468,0.0243084852605055,-0.37936876549854,-0.266615455251823,-0.0739685822834862,0.173144574686594,-0.731926698429989,0.028821950950365,0.583820517821713,-0.373727338770777,2.54840554191802,1.44344823790896,-0.807272980595427,0.410619663116986,1.00753421159656
"2226DP212",-4.75419268774135,-0.00672166556936346,-0.882361305949617,-0.395013880320693,-2.56689233419242,0.569742489069459,-2.64195556983253,1.9899744612887,0.846829994412906,-0.143563410723793,-0.0725272217715079,1.62154479479207,0.437382464600356,1.12507532267013,0.380355117132182,2.02612264179917,-0.518391522855998,0.921061335009021,1.60104430802075,0.0204331229501775,1.70493957140211,-0.360005968846638,1.54628580928746,-0.88323615923559,0.178037381987735,-0.533133477106073,-0.652378212457764
"2226DP176",-7.51302184729729,1.84394097507285,-0.845507136637225,1.2482855076828,-1.65977579072763,2.95329234617893,-2.25992693052835,2.43505422223935,0.866513590836066,0.261501177484351,0.581117853268611,1.73707016717406,0.446373388975752,1.25884472198382,1.21241932788366,2.22580469241615,0.0237654723947479,-0.312189481535428,0.641939756107203,0.0129150777125993,2.86785640811181,-1.17303824457373,4.43983695286452,-0.191071755269246,1.68986663227849,-1.34597536797105,1.3534432827827
"2226DP072",-9.95022646310806,1.38477802056321,-3.77171396399131,1.18638775781923,-2.24020675368215,2.47565492264671,-0.550359968758638,1.22161832452331,0.839297401958182,-1.84547138432146,0.256882301564668,0.138629988962006,0.456129625657452,-0.492672070260358,1.07727718719787,0.913982905977233,-0.0463301010092143,-0.518580661294803,0.896115946921976,0.0155717107984624,2.32764236808651,-1.80763686113807,1.95873961634619,0.383654950179623,0.801118228613471,-1.30994150572328,1.55501867694594
"2226DP185",-9.77847877154026,2.70992541323513,-2.60778010678634,0.825838428450901,-1.75944756378623,2.92949205835464,-2.98940160258279,3.0135971679162,0.905559070265924,0.020328436405367,0.231638544812041,2.87781281966349,0.442461601284933,1.00623501112518,2.5001579036863,3.51407697252655,-0.610390793183251,0.368845426854332,-1.86327564365111,0.0108144325424777,3.32939409126431,-1.66620503934942,4.22152138447749,0.0931184645592077,0.802420125074583,-4.31393945070884,0.112818389404667
