"","CTR-DS1","CTR-DS2","CTR-DS3","DR-DS1","DR-DS2","DR-DS3"
"MLOC_70157",3.20893249876548,3.1903148397107,3.23142890299484,3.37808957782868,3.34167202835574,3.28282333146391
"MLOC_70158",2.53416777444546,2.33563094658898,2.43692304361714,2.96508343611102,2.92295936071667,2.67879550516995
"MLOC_70346",3.55471817248507,3.55096596999424,3.41666878124657,3.35861700721729,3.43396561991144,3.31162196765675
"MLOC_70609",2.95224914481463,2.84677290783891,2.79784498262551,3.16281020033141,3.22932881914513,2.9919148468415
"MLOC_70708",3.37529750002949,3.42728892067506,3.38673611229946,3.26884310238512,3.32158271575914,3.30212358374236
"MLOC_70738",3.08751381992582,3.04219164161397,2.98726968186678,2.81317007533753,2.78511750742274,2.79001287883321
"MLOC_70929",2.64853833390789,2.71662176636423,2.80295808970894,3.00954807862425,2.96632414236036,2.95230077752046
"MLOC_71555",3.2118433388916,3.18038503718261,3.18364055225866,3.31738894521601,3.33665987995072,3.26655578626017
"MLOC_74232",3.23173224893913,3.16660078846352,3.23213352482728,3.40721919728264,3.3959638235624,3.33585441233651
"MLOC_74277",3.3583967783495,3.3652858347003,3.36825409458272,3.25283897847028,3.25652457194536,3.2832555939757
"MLOC_74308",2.88303779418213,2.59549431347863,2.48982749984331,2.03861136079823,2.21445426146695,1.85760367584903
"MLOC_76018",3.5080285545191,3.57301116299667,3.46582385651647,3.30759773871936,3.45121688269253,3.32586221592794
"MLOC_79114",2.75833690751715,2.63124116530577,2.65639482934987,2.97767298554043,3.07352509675462,2.82588298152962
"MLOC_79118",3.33603849734051,3.29641924633532,3.24636149870642,3.50179890039684,3.44815236916716,3.33810849344672
"MLOC_79292",2.72872225420366,2.83943794857629,2.91762563910004,3.15126781204009,3.09088427514528,2.94570837452469
"MLOC_80981",2.34280894819175,2.15914487028341,2.34815974332282,2.72521258968612,2.85799997491747,2.65818231342748
"MLOC_81876",3.38488104905719,3.37438621565075,3.35680520749398,3.25915597044692,3.28293927468214,3.28794535126312
"MLOC_9930",3.16379773079058,3.00377723687726,3.0827243303235,3.29977037083291,3.32243055049823,3.17511613255778
